grid,lat,lon
AC27,-63.0,-176.0
AC28,-62.0,-176.0
AC29,-61.0,-176.0
AC30,-70.0,-174.0
AC31,-69.0,-174.0
AC32,-68.0,-174.0
AC33,-67.0,-174.0
AC34,-66.0,-174.0
AC35,-65.0,-174.0
AC36,-64.0,-174.0
AC37,-63.0,-174.0
AC38,-62.0,-174.0
AC39,-61.0,-174.0
AC40,-70.0,-172.0
AC41,-69.0,-172.0
AC42,-68.0,-172.0
AC43,-67.0,-172.0
AC44,-66.0,-172.0
AC45,-65.0,-172.0
AC46,-64.0,-172.0
AC47,-63.0,-172.0
AC48,-62.0,-172.0
AC49,-61.0,-172.0
AC50,-70.0,-170.0
AC51,-69.0,-170.0
AC52,-68.0,-170.0
AC53,-67.0,-170.0
AC54,-66.0,-170.0
AC55,-65.0,-170.0
AC56,-64.0,-170.0
AC57,-63.0,-170.0
AC58,-62.0,-170.0
AC59,-61.0,-170.0
AC60,-70.0,-168.0
AC61,-69.0,-168.0
AC62,-68.0,-168.0
AC63,-67.0,-168.0
AC64,-66.0,-168.0
AC65,-65.0,-168.0
AC66,-64.0,-168.0
AC67,-63.0,-168.0
AC68,-62.0,-168.0
AC69,-61.0,-168.0
AC70,-70.0,-166.0
AC71,-69.0,-166.0
AC72,-68.0,-166.0
AC73,-67.0,-166.0
AC74,-66.0,-166.0
AC75,-65.0,-166.0
AC76,-64.0,-166.0
AC77,-63.0,-166.0
AC78,-62.0,-166.0
AC79,-61.0,-166.0
AC80,-70.0,-164.0
AC81,-69.0,-164.0
AC82,-68.0,-164.0
AC83,-67.0,-164.0
AC84,-66.0,-164.0
AC85,-65.0,-164.0
AC86,-64.0,-164.0
AC87,-63.0,-164.0
AC88,-62.0,-164.0
AC89,-61.0,-164.0
AC90,-70.0,-162.0
AC91,-69.0,-162.0
AC92,-68.0,-162.0
AC93,-67.0,-162.0
AC94,-66.0,-162.0
AC95,-65.0,-162.0
AC96,-64.0,-162.0
AC97,-63.0,-162.0
AC98,-62.0,-162.0
AC99,-61.0,-162.0
AD00,-60.0,-180.0
AD01,-59.0,-180.0
AD02,-58.0,-180.0
AD03,-57.0,-180.0
AD04,-56.0,-180.0
AD05,-55.0,-180.0
AD06,-54.0,-180.0
AD07,-53.0,-180.0
AD08,-52.0,-180.0
AD09,-51.0,-180.0
AD10,-60.0,-178.0
AD11,-59.0,-178.0
AD12,-58.0,-178.0
AD13,-57.0,-178.0
AD14,-56.0,-178.0
AD15,-55.0,-178.0
AD16,-54.0,-178.0
AD17,-53.0,-178.0
AD18,-52.0,-178.0
AD19,-51.0,-178.0
AD20,-60.0,-176.0
AD21,-59.0,-176.0
AD22,-58.0,-176.0
AD23,-57.0,-176.0
AD24,-56.0,-176.0
AD25,-55.0,-176.0
AD26,-54.0,-176.0
AD27,-53.0,-176.0
AD28,-52.0,-176.0
AD29,-51.0,-176.0
AD30,-60.0,-174.0
AD31,-59.0,-174.0
AD32,-58.0,-174.0
AD33,-57.0,-174.0
AD34,-56.0,-174.0
AD35,-55.0,-174.0
AD36,-54.0,-174.0
AD37,-53.0,-174.0
AD38,-52.0,-174.0
AD39,-51.0,-174.0
AD40,-60.0,-172.0
AD41,-59.0,-172.0
AD42,-58.0,-172.0
AD43,-57.0,-172.0
AD44,-56.0,-172.0
AD45,-55.0,-172.0
AD46,-54.0,-172.0
