grid,lon_lat
BM22,"(-156.0, 32.0)"
BM23,"(-156.0, 33.0)"
BM24,"(-156.0, 34.0)"
BM25,"(-156.0, 35.0)"
BM26,"(-156.0, 36.0)"
BM27,"(-156.0, 37.0)"
BM28,"(-156.0, 38.0)"
BM29,"(-156.0, 39.0)"
BM30,"(-154.0, 30.0)"
BM31,"(-154.0, 31.0)"
BM32,"(-154.0, 32.0)"
BM33,"(-154.0, 33.0)"
BM34,"(-154.0, 34.0)"
BM35,"(-154.0, 35.0)"
BM36,"(-154.0, 36.0)"
BM37,"(-154.0, 37.0)"
BM38,"(-154.0, 38.0)"
BM39,"(-154.0, 39.0)"
BM40,"(-152.0, 30.0)"
BM41,"(-152.0, 31.0)"
BM42,"(-152.0, 32.0)"
BM43,"(-152.0, 33.0)"
BM44,"(-152.0, 34.0)"
BM45,"(-152.0, 35.0)"
BM46,"(-152.0, 36.0)"
BM47,"(-152.0, 37.0)"
BM48,"(-152.0, 38.0)"
BM49,"(-152.0, 39.0)"
BM50,"(-150.0, 30.0)"
BM51,"(-150.0, 31.0)"
BM52,"(-150.0, 32.0)"
BM53,"(-150.0, 33.0)"
BM54,"(-150.0, 34.0)"
BM55,"(-150.0, 35.0)"
BM56,"(-150.0, 36.0)"
BM57,"(-150.0, 37.0)"
BM58,"(-150.0, 38.0)"
BM59,"(-150.0, 39.0)"
BM60,"(-148.0, 30.0)"
BM61,"(-148.0, 31.0)"
BM62,"(-148.0, 32.0)"
BM63,"(-148.0, 33.0)"
BM64,"(-148.0, 34.0)"
BM65,"(-148.0, 35.0)"
BM66,"(-148.0, 36.0)"
BM67,"(-148.0, 37.0)"
BM68,"(-148.0, 38.0)"
BM69,"(-148.0, 39.0)"
BM70,"(-146.0, 30.0)"
BM71,"(-146.0, 31.0)"
BM72,"(-146.0, 32.0)"
BM73,"(-146.0, 33.0)"
BM74,"(-146.0, 34.0)"
BM75,"(-146.0, 35.0)"
BM76,"(-146.0, 36.0)"
BM77,"(-146.0, 37.0)"
BM78,"(-146.0, 38.0)"
BM79,"(-146.0, 39.0)"
BM80,"(-144.0, 30.0)"
BM81,"(-144.0, 31.0)"
BM82,"(-144.0, 32.0)"
BM83,"(-144.0, 33.0)"
BM84,"(-144.0, 34.0)"
BM85,"(-144.0, 35.0)"
BM86,"(-144.0, 36.0)"
BM87,"(-144.0, 37.0)"
BM88,"(-144.0, 38.0)"
BM89,"(-144.0, 39.0)"
BM90,"(-142.0, 30.0)"
BM91,"(-142.0, 31.0)"
BM92,"(-142.0, 32.0)"
BM93,"(-142.0, 33.0)"
BM94,"(-142.0, 34.0)"
BM95,"(-142.0, 35.0)"
BM96,"(-142.0, 36.0)"
BM97,"(-142.0, 37.0)"
BM98,"(-142.0, 38.0)"
BM99,"(-142.0, 39.0)"
BN00,"(-160.0, 40.0)"
BN01,"(-160.0, 41.0)"
BN02,"(-160.0, 42.0)"
BN03,"(-160.0, 43.0)"
BN04,"(-160.0, 44.0)"
BN05,"(-160.0, 45.0)"
BN06,"(-160.0, 46.0)"
BN07,"(-160.0, 47.0)"
BN08,"(-160.0, 48.0)"
BN09,"(-160.0, 49.0)"
BN10,"(-158.0, 40.0)"
BN11,"(-158.0, 41.0)"
BN12,"(-158.0, 42.0)"
BN13,"(-158.0, 43.0)"
BN14,"(-158.0, 44.0)"
BN15,"(-158.0, 45.0)"
BN16,"(-158.0, 46.0)"
BN17,"(-158.0, 47.0)"
BN18,"(-158.0, 48.0)"
BN19,"(-158.0, 49.0)"
BN20,"(-156.0, 40.0)"
BN21,"(-156.0, 41.0)"
BN22,"(-156.0, 42.0)"
BN23,"(-156.0, 43.0)"
BN24,"(-156.0, 44.0)"
BN25,"(-156.0, 45.0)"
BN26,"(-156.0, 46.0)"
BN27,"(-156.0, 47.0)"
BN28,"(-156.0, 48.0)"
BN29,"(-156.0, 49.0)"
BN30,"(-154.0, 40.0)"
BN31,"(-154.0, 41.0)"
BN32,"(-154.0, 42.0)"
BN33,"(-154.0, 43.0)"
BN34,"(-154.0, 44.0)"
BN35,"(-154.0, 45.0)"
BN36,"(-154.0, 46.0)"
BN37,"(-154.0, 47.0)"
BN38,"(-154.0, 48.0)"
BN39,"(-154.0, 49.0)"
BN40,"(-152.0, 40.0)"
BN41,"(-152.0, 41.0)"
BN42,"(-152.0, 42.0)"
BN43,"(-152.0, 43.0)"
BN44,"(-152.0, 44.0)"
BN45,"(-152.0, 45.0)"
BN46,"(-152.0, 46.0)"
BN47,"(-152.0, 47.0)"
BN48,"(-152.0, 48.0)"
BN49,"(-152.0, 49.0)"
BN50,"(-150.0, 40.0)"
BN51,"(-150.0, 41.0)"
BN52,"(-150.0, 42.0)"
BN53,"(-150.0, 43.0)"
BN54,"(-150.0, 44.0)"
BN55,"(-150.0, 45.0)"
BN56,"(-150.0, 46.0)"
BN57,"(-150.0, 47.0)"
BN58,"(-150.0, 48.0)"
BN59,"(-150.0, 49.0)"
BN60,"(-148.0, 40.0)"
BN61,"(-148.0, 41.0)"
BN62,"(-148.0, 42.0)"
BN63,"(-148.0, 43.0)"
BN64,"(-148.0, 44.0)"
BN65,"(-148.0, 45.0)"
BN66,"(-148.0, 46.0)"
BN67,"(-148.0, 47.0)"
BN68,"(-148.0, 48.0)"
BN69,"(-148.0, 49.0)"
BN70,"(-146.0, 40.0)"
BN71,"(-146.0, 41.0)"
BN72,"(-146.0, 42.0)"
BN73,"(-146.0, 43.0)"
BN74,"(-146.0, 44.0)"
BN75,"(-146.0, 45.0)"
BN76,"(-146.0, 46.0)"
BN77,"(-146.0, 47.0)"
BN78,"(-146.0, 48.0)"
BN79,"(-146.0, 49.0)"
BN80,"(-144.0, 40.0)"
BN81,"(-144.0, 41.0)"
BN82,"(-144.0, 42.0)"
BN83,"(-144.0, 43.0)"
BN84,"(-144.0, 44.0)"
BN85,"(-144.0, 45.0)"
BN86,"(-144.0, 46.0)"
BN87,"(-144.0, 47.0)"
BN88,"(-144.0, 48.0)"
BN89,"(-144.0, 49.0)"
BN90,"(-142.0, 40.0)"
BN91,"(-142.0, 41.0)"
BN92,"(-142.0, 42.0)"
BN93,"(-142.0, 43.0)"
BN94,"(-142.0, 44.0)"
BN95,"(-142.0, 45.0)"
BN96,"(-142.0, 46.0)"
BN97,"(-142.0, 47.0)"
BN98,"(-142.0, 48.0)"
BN99,"(-142.0, 49.0)"
BO00,"(-160.0, 50.0)"
BO01,"(-160.0, 51.0)"
BO02,"(-160.0, 52.0)"
BO03,"(-160.0, 53.0)"
BO04,"(-160.0, 54.0)"
BO05,"(-160.0, 55.0)"
BO06,"(-160.0, 56.0)"
BO07,"(-160.0, 57.0)"
BO08,"(-160.0, 58.0)"
BO09,"(-160.0, 59.0)"
BO10,"(-158.0, 50.0)"
BO11,"(-158.0, 51.0)"
BO12,"(-158.0, 52.0)"
BO13,"(-158.0, 53.0)"
BO14,"(-158.0, 54.0)"
BO15,"(-158.0, 55.0)"
BO16,"(-158.0, 56.0)"
BO17,"(-158.0, 57.0)"
BO18,"(-158.0, 58.0)"
BO19,"(-158.0, 59.0)"
BO20,"(-156.0, 50.0)"
BO21,"(-156.0, 51.0)"
BO22,"(-156.0, 52.0)"
BO23,"(-156.0, 53.0)"
BO24,"(-156.0, 54.0)"
BO25,"(-156.0, 55.0)"
BO26,"(-156.0, 56.0)"
BO27,"(-156.0, 57.0)"
BO28,"(-156.0, 58.0)"
BO29,"(-156.0, 59.0)"
BO30,"(-154.0, 50.0)"
BO31,"(-154.0, 51.0)"
BO32,"(-154.0, 52.0)"
BO33,"(-154.0, 53.0)"
BO34,"(-154.0, 54.0)"
BO35,"(-154.0, 55.0)"
BO36,"(-154.0, 56.0)"
BO37,"(-154.0, 57.0)"
BO38,"(-154.0, 58.0)"
BO39,"(-154.0, 59.0)"
BO40,"(-152.0, 50.0)"
BO41,"(-152.0, 51.0)"
BO42,"(-152.0, 52.0)"
BO43,"(-152.0, 53.0)"
BO44,"(-152.0, 54.0)"
BO45,"(-152.0, 55.0)"
BO46,"(-152.0, 56.0)"
BO47,"(-152.0, 57.0)"
BO48,"(-152.0, 58.0)"
BO49,"(-152.0, 59.0)"
BO50,"(-150.0, 50.0)"
BO51,"(-150.0, 51.0)"
BO52,"(-150.0, 52.0)"
BO53,"(-150.0, 53.0)"
BO54,"(-150.0, 54.0)"
BO55,"(-150.0, 55.0)"
BO56,"(-150.0, 56.0)"
BO57,"(-150.0, 57.0)"
BO58,"(-150.0, 58.0)"
BO59,"(-150.0, 59.0)"
BO60,"(-148.0, 50.0)"
BO61,"(-148.0, 51.0)"
BO62,"(-148.0, 52.0)"
BO63,"(-148.0, 53.0)"
BO64,"(-148.0, 54.0)"
BO65,"(-148.0, 55.0)"
BO66,"(-148.0, 56.0)"
BO67,"(-148.0, 57.0)"
BO68,"(-148.0, 58.0)"
BO69,"(-148.0, 59.0)"
BO70,"(-146.0, 50.0)"
BO71,"(-146.0, 51.0)"
BO72,"(-146.0, 52.0)"
BO73,"(-146.0, 53.0)"
BO74,"(-146.0, 54.0)"
BO75,"(-146.0, 55.0)"
BO76,"(-146.0, 56.0)"
BO77,"(-146.0, 57.0)"
BO78,"(-146.0, 58.0)"
BO79,"(-146.0, 59.0)"
BO80,"(-144.0, 50.0)"
BO81,"(-144.0, 51.0)"
BO82,"(-144.0, 52.0)"
BO83,"(-144.0, 53.0)"
BO84,"(-144.0, 54.0)"
BO85,"(-144.0, 55.0)"
BO86,"(-144.0, 56.0)"
BO87,"(-144.0, 57.0)"
BO88,"(-144.0, 58.0)"
BO89,"(-144.0, 59.0)"
BO90,"(-142.0, 50.0)"
BO91,"(-142.0, 51.0)"
BO92,"(-142.0, 52.0)"
BO93,"(-142.0, 53.0)"
BO94,"(-142.0, 54.0)"
BO95,"(-142.0, 55.0)"
BO96,"(-142.0, 56.0)"
BO97,"(-142.0, 57.0)"
BO98,"(-142.0, 58.0)"
BO99,"(-142.0, 59.0)"
BP00,"(-160.0, 60.0)"
BP01,"(-160.0, 61.0)"
BP02,"(-160.0, 62.0)"
BP03,"(-160.0, 63.0)"
BP04,"(-160.0, 64.0)"
BP05,"(-160.0, 65.0)"
BP06,"(-160.0, 66.0)"
BP07,"(-160.0, 67.0)"
BP08,"(-160.0, 68.0)"
BP09,"(-160.0, 69.0)"
BP10,"(-158.0, 60.0)"
BP11,"(-158.0, 61.0)"
BP12,"(-158.0, 62.0)"
BP13,"(-158.0, 63.0)"
BP14,"(-158.0, 64.0)"
BP15,"(-158.0, 65.0)"
BP16,"(-158.0, 66.0)"
BP17,"(-158.0, 67.0)"
BP18,"(-158.0, 68.0)"
BP19,"(-158.0, 69.0)"
BP20,"(-156.0, 60.0)"
BP21,"(-156.0, 61.0)"
BP22,"(-156.0, 62.0)"
BP23,"(-156.0, 63.0)"
BP24,"(-156.0, 64.0)"
BP25,"(-156.0, 65.0)"
BP26,"(-156.0, 66.0)"
BP27,"(-156.0, 67.0)"
BP28,"(-156.0, 68.0)"
BP29,"(-156.0, 69.0)"
BP30,"(-154.0, 60.0)"
BP31,"(-154.0, 61.0)"
BP32,"(-154.0, 62.0)"
BP33,"(-154.0, 63.0)"
BP34,"(-154.0, 64.0)"
BP35,"(-154.0, 65.0)"
BP36,"(-154.0, 66.0)"
BP37,"(-154.0, 67.0)"
BP38,"(-154.0, 68.0)"
BP39,"(-154.0, 69.0)"
BP40,"(-152.0, 60.0)"
BP41,"(-152.0, 61.0)"
BP42,"(-152.0, 62.0)"
BP43,"(-152.0, 63.0)"
BP44,"(-152.0, 64.0)"
BP45,"(-152.0, 65.0)"
BP46,"(-152.0, 66.0)"
BP47,"(-152.0, 67.0)"
BP48,"(-152.0, 68.0)"
BP49,"(-152.0, 69.0)"
BP50,"(-150.0, 60.0)"
BP51,"(-150.0, 61.0)"
BP52,"(-150.0, 62.0)"
BP53,"(-150.0, 63.0)"
BP54,"(-150.0, 64.0)"
BP55,"(-150.0, 65.0)"
BP56,"(-150.0, 66.0)"
BP57,"(-150.0, 67.0)"
BP58,"(-150.0, 68.0)"
BP59,"(-150.0, 69.0)"
BP60,"(-148.0, 60.0)"
BP61,"(-148.0, 61.0)"
BP62,"(-148.0, 62.0)"
BP63,"(-148.0, 63.0)"
BP64,"(-148.0, 64.0)"
BP65,"(-148.0, 65.0)"
BP66,"(-148.0, 66.0)"
BP67,"(-148.0, 67.0)"
BP68,"(-148.0, 68.0)"
BP69,"(-148.0, 69.0)"
BP70,"(-146.0, 60.0)"
BP71,"(-146.0, 61.0)"
BP72,"(-146.0, 62.0)"
BP73,"(-146.0, 63.0)"
BP74,"(-146.0, 64.0)"
BP75,"(-146.0, 65.0)"
BP76,"(-146.0, 66.0)"
BP77,"(-146.0, 67.0)"
BP78,"(-146.0, 68.0)"
BP79,"(-146.0, 69.0)"
BP80,"(-144.0, 60.0)"
BP81,"(-144.0, 61.0)"
BP82,"(-144.0, 62.0)"
BP83,"(-144.0, 63.0)"
BP84,"(-144.0, 64.0)"
BP85,"(-144.0, 65.0)"
BP86,"(-144.0, 66.0)"
BP87,"(-144.0, 67.0)"
BP88,"(-144.0, 68.0)"
BP89,"(-144.0, 69.0)"
BP90,"(-142.0, 60.0)"
BP91,"(-142.0, 61.0)"
BP92,"(-142.0, 62.0)"
BP93,"(-142.0, 63.0)"
BP94,"(-142.0, 64.0)"
BP95,"(-142.0, 65.0)"
BP96,"(-142.0, 66.0)"
BP97,"(-142.0, 67.0)"
BP98,"(-142.0, 68.0)"
BP99,"(-142.0, 69.0)"
BQ00,"(-160.0, 70.0)"
BQ01,"(-160.0, 71.0)"
BQ02,"(-160.0, 72.0)"
BQ03,"(-160.0, 73.0)"
BQ04,"(-160.0, 74.0)"
BQ05,"(-160.0, 75.0)"
BQ06,"(-160.0, 76.0)"
BQ07,"(-160.0, 77.0)"
BQ08,"(-160.0, 78.0)"
BQ09,"(-160.0, 79.0)"
BQ10,"(-158.0, 70.0)"
BQ11,"(-158.0, 71.0)"
BQ12,"(-158.0, 72.0)"
BQ13,"(-158.0, 73.0)"
BQ14,"(-158.0, 74.0)"
BQ15,"(-158.0, 75.0)"
BQ16,"(-158.0, 76.0)"
BQ17,"(-158.0, 77.0)"
BQ18,"(-158.0, 78.0)"
BQ19,"(-158.0, 79.0)"
BQ20,"(-156.0, 70.0)"
BQ21,"(-156.0, 71.0)"
BQ22,"(-156.0, 72.0)"
BQ23,"(-156.0, 73.0)"
BQ24,"(-156.0, 74.0)"
BQ25,"(-156.0, 75.0)"
BQ26,"(-156.0, 76.0)"
BQ27,"(-156.0, 77.0)"
BQ28,"(-156.0, 78.0)"
BQ29,"(-156.0, 79.0)"
BQ30,"(-154.0, 70.0)"
BQ31,"(-154.0, 71.0)"
BQ32,"(-154.0, 72.0)"
BQ33,"(-154.0, 73.0)"
BQ34,"(-154.0, 74.0)"
BQ35,"(-154.0, 75.0)"
BQ36,"(-154.0, 76.0)"
BQ37,"(-154.0, 77.0)"
BQ38,"(-154.0, 78.0)"
BQ39,"(-154.0, 79.0)"
BQ40,"(-152.0, 70.0)"
BQ41,"(-152.0, 71.0)"
BQ42,"(-152.0, 72.0)"
BQ43,"(-152.0, 73.0)"
BQ44,"(-152.0, 74.0)"
BQ45,"(-152.0, 75.0)"
BQ46,"(-152.0, 76.0)"
BQ47,"(-152.0, 77.0)"
BQ48,"(-152.0, 78.0)"
BQ49,"(-152.0, 79.0)"
BQ50,"(-150.0, 70.0)"
BQ51,"(-150.0, 71.0)"
BQ52,"(-150.0, 72.0)"
BQ53,"(-150.0, 73.0)"
BQ54,"(-150.0, 74.0)"
BQ55,"(-150.0, 75.0)"
BQ56,"(-150.0, 76.0)"
BQ57,"(-150.0, 77.0)"
BQ58,"(-150.0, 78.0)"
BQ59,"(-150.0, 79.0)"
BQ60,"(-148.0, 70.0)"
BQ61,"(-148.0, 71.0)"
BQ62,"(-148.0, 72.0)"
BQ63,"(-148.0, 73.0)"
BQ64,"(-148.0, 74.0)"
BQ65,"(-148.0, 75.0)"
BQ66,"(-148.0, 76.0)"
BQ67,"(-148.0, 77.0)"
BQ68,"(-148.0, 78.0)"
BQ69,"(-148.0, 79.0)"
BQ70,"(-146.0, 70.0)"
BQ71,"(-146.0, 71.0)"
BQ72,"(-146.0, 72.0)"
BQ73,"(-146.0, 73.0)"
BQ74,"(-146.0, 74.0)"
BQ75,"(-146.0, 75.0)"
BQ76,"(-146.0, 76.0)"
BQ77,"(-146.0, 77.0)"
BQ78,"(-146.0, 78.0)"
BQ79,"(-146.0, 79.0)"
BQ80,"(-144.0, 70.0)"
BQ81,"(-144.0, 71.0)"
BQ82,"(-144.0, 72.0)"
BQ83,"(-144.0, 73.0)"
BQ84,"(-144.0, 74.0)"
BQ85,"(-144.0, 75.0)"
BQ86,"(-144.0, 76.0)"
BQ87,"(-144.0, 77.0)"
BQ88,"(-144.0, 78.0)"
BQ89,"(-144.0, 79.0)"
BQ90,"(-142.0, 70.0)"
BQ91,"(-142.0, 71.0)"
BQ92,"(-142.0, 72.0)"
BQ93,"(-142.0, 73.0)"
BQ94,"(-142.0, 74.0)"
BQ95,"(-142.0, 75.0)"
BQ96,"(-142.0, 76.0)"
BQ97,"(-142.0, 77.0)"
BQ98,"(-142.0, 78.0)"
BQ99,"(-142.0, 79.0)"
BR00,"(-160.0, 80.0)"
BR01,"(-160.0, 81.0)"
BR02,"(-160.0, 82.0)"
BR03,"(-160.0, 83.0)"
BR04,"(-160.0, 84.0)"
BR05,"(-160.0, 85.0)"
BR06,"(-160.0, 86.0)"
BR07,"(-160.0, 87.0)"
BR08,"(-160.0, 88.0)"
BR09,"(-160.0, 89.0)"
BR10,"(-158.0, 80.0)"
BR11,"(-158.0, 81.0)"
BR12,"(-158.0, 82.0)"
BR13,"(-158.0, 83.0)"
BR14,"(-158.0, 84.0)"
BR15,"(-158.0, 85.0)"
BR16,"(-158.0, 86.0)"
BR17,"(-158.0, 87.0)"
BR18,"(-158.0, 88.0)"
BR19,"(-158.0, 89.0)"
BR20,"(-156.0, 80.0)"
BR21,"(-156.0, 81.0)"
BR22,"(-156.0, 82.0)"
BR23,"(-156.0, 83.0)"
BR24,"(-156.0, 84.0)"
BR25,"(-156.0, 85.0)"
BR26,"(-156.0, 86.0)"
BR27,"(-156.0, 87.0)"
BR28,"(-156.0, 88.0)"
BR29,"(-156.0, 89.0)"
BR30,"(-154.0, 80.0)"
BR31,"(-154.0, 81.0)"
BR32,"(-154.0, 82.0)"
BR33,"(-154.0, 83.0)"
BR34,"(-154.0, 84.0)"
BR35,"(-154.0, 85.0)"
BR36,"(-154.0, 86.0)"
BR37,"(-154.0, 87.0)"
BR38,"(-154.0, 88.0)"
BR39,"(-154.0, 89.0)"
BR40,"(-152.0, 80.0)"
BR41,"(-152.0, 81.0)"
BR42,"(-152.0, 82.0)"
BR43,"(-152.0, 83.0)"
BR44,"(-152.0, 84.0)"
BR45,"(-152.0, 85.0)"
BR46,"(-152.0, 86.0)"
BR47,"(-152.0, 87.0)"
BR48,"(-152.0, 88.0)"
BR49,"(-152.0, 89.0)"
BR50,"(-150.0, 80.0)"
BR51,"(-150.0, 81.0)"
BR52,"(-150.0, 82.0)"
BR53,"(-150.0, 83.0)"
BR54,"(-150.0, 84.0)"
BR55,"(-150.0, 85.0)"
BR56,"(-150.0, 86.0)"
BR57,"(-150.0, 87.0)"
BR58,"(-150.0, 88.0)"
BR59,"(-150.0, 89.0)"
BR60,"(-148.0, 80.0)"
BR61,"(-148.0, 81.0)"
BR62,"(-148.0, 82.0)"
BR63,"(-148.0, 83.0)"
BR64,"(-148.0, 84.0)"
BR65,"(-148.0, 85.0)"
BR66,"(-148.0, 86.0)"
BR67,"(-148.0, 87.0)"
BR68,"(-148.0, 88.0)"
BR69,"(-148.0, 89.0)"
BR70,"(-146.0, 80.0)"
BR71,"(-146.0, 81.0)"
BR72,"(-146.0, 82.0)"
BR73,"(-146.0, 83.0)"
BR74,"(-146.0, 84.0)"
BR75,"(-146.0, 85.0)"
BR76,"(-146.0, 86.0)"
BR77,"(-146.0, 87.0)"
BR78,"(-146.0, 88.0)"
BR79,"(-146.0, 89.0)"
BR80,"(-144.0, 80.0)"
BR81,"(-144.0, 81.0)"
BR82,"(-144.0, 82.0)"
BR83,"(-144.0, 83.0)"
BR84,"(-144.0, 84.0)"
BR85,"(-144.0, 85.0)"
BR86,"(-144.0, 86.0)"
BR87,"(-144.0, 87.0)"
BR88,"(-144.0, 88.0)"
BR89,"(-144.0, 89.0)"
BR90,"(-142.0, 80.0)"
BR91,"(-142.0, 81.0)"
BR92,"(-142.0, 82.0)"
BR93,"(-142.0, 83.0)"
BR94,"(-142.0, 84.0)"
BR95,"(-142.0, 85.0)"
BR96,"(-142.0, 86.0)"
BR97,"(-142.0, 87.0)"
BR98,"(-142.0, 88.0)"
BR99,"(-142.0, 89.0)"
CA00,"(-140.0, -90.0)"
CA01,"(-140.0, -89.0)"
CA02,"(-140.0, -88.0)"
CA03,"(-140.0, -87.0)"
CA04,"(-140.0, -86.0)"
CA05,"(-140.0, -85.0)"
CA06,"(-140.0, -84.0)"
CA07,"(-140.0, -83.0)"
CA08,"(-140.0, -82.0)"
CA09,"(-140.0, -81.0)"
CA10,"(-138.0, -90.0)"
CA11,"(-138.0, -89.0)"
CA12,"(-138.0, -88.0)"
CA13,"(-138.0, -87.0)"
CA14,"(-138.0, -86.0)"
CA15,"(-138.0, -85.0)"
CA16,"(-138.0, -84.0)"
CA17,"(-138.0, -83.0)"
CA18,"(-138.0, -82.0)"
CA19,"(-138.0, -81.0)"
CA20,"(-136.0, -90.0)"
CA21,"(-136.0, -89.0)"
CA22,"(-136.0, -88.0)"
CA23,"(-136.0, -87.0)"
CA24,"(-136.0, -86.0)"
CA25,"(-136.0, -85.0)"
CA26,"(-136.0, -84.0)"
CA27,"(-136.0, -83.0)"
CA28,"(-136.0, -82.0)"
CA29,"(-136.0, -81.0)"
CA30,"(-134.0, -90.0)"
CA31,"(-134.0, -89.0)"
CA32,"(-134.0, -88.0)"
CA33,"(-134.0, -87.0)"
CA34,"(-134.0, -86.0)"
CA35,"(-134.0, -85.0)"
CA36,"(-134.0, -84.0)"
CA37,"(-134.0, -83.0)"
CA38,"(-134.0, -82.0)"
CA39,"(-134.0, -81.0)"
CA40,"(-132.0, -90.0)"
CA41,"(-132.0, -89.0)"
CA42,"(-132.0, -88.0)"
CA43,"(-132.0, -87.0)"
CA44,"(-132.0, -86.0)"
CA45,"(-132.0, -85.0)"
CA46,"(-132.0, -84.0)"
CA47,"(-132.0, -83.0)"
CA48,"(-132.0, -82.0)"
CA49,"(-132.0, -81.0)"
CA50,"(-130.0, -90.0)"
CA51,"(-130.0, -89.0)"
CA52,"(-130.0, -88.0)"
CA53,"(-130.0, -87.0)"
CA54,"(-130.0, -86.0)"
CA55,"(-130.0, -85.0)"
CA56,"(-130.0, -84.0)"
CA57,"(-130.0, -83.0)"
CA58,"(-130.0, -82.0)"
CA59,"(-130.0, -81.0)"
CA60,"(-128.0, -90.0)"
CA61,"(-128.0, -89.0)"
CA62,"(-128.0, -88.0)"
CA63,"(-128.0, -87.0)"
CA64,"(-128.0, -86.0)"
CA65,"(-128.0, -85.0)"
CA66,"(-128.0, -84.0)"
CA67,"(-128.0, -83.0)"
CA68,"(-128.0, -82.0)"
CA69,"(-128.0, -81.0)"
CA70,"(-126.0, -90.0)"
CA71,"(-126.0, -89.0)"
CA72,"(-126.0, -88.0)"
CA73,"(-126.0, -87.0)"
CA74,"(-126.0, -86.0)"
CA75,"(-126.0, -85.0)"
CA76,"(-126.0, -84.0)"
CA77,"(-126.0, -83.0)"
CA78,"(-126.0, -82.0)"
CA79,"(-126.0, -81.0)"
CA80,"(-124.0, -90.0)"
CA81,"(-124.0, -89.0)"
CA82,"(-124.0, -88.0)"
CA83,"(-124.0, -87.0)"
CA84,"(-124.0, -86.0)"
CA85,"(-124.0, -85.0)"
CA86,"(-124.0, -84.0)"
CA87,"(-124.0, -83.0)"
CA88,"(-124.0, -82.0)"
CA89,"(-124.0, -81.0)"
CA90,"(-122.0, -90.0)"
CA91,"(-122.0, -89.0)"
CA92,"(-122.0, -88.0)"
CA93,"(-122.0, -87.0)"
CA94,"(-122.0, -86.0)"
CA95,"(-122.0, -85.0)"
CA96,"(-122.0, -84.0)"
CA97,"(-122.0, -83.0)"
CA98,"(-122.0, -82.0)"
CA99,"(-122.0, -81.0)"
CB00,"(-140.0, -80.0)"
CB01,"(-140.0, -79.0)"
CB02,"(-140.0, -78.0)"
CB03,"(-140.0, -77.0)"
CB04,"(-140.0, -76.0)"
CB05,"(-140.0, -75.0)"
CB06,"(-140.0, -74.0)"
CB07,"(-140.0, -73.0)"
CB08,"(-140.0, -72.0)"
CB09,"(-140.0, -71.0)"
CB10,"(-138.0, -80.0)"
CB11,"(-138.0, -79.0)"
CB12,"(-138.0, -78.0)"
CB13,"(-138.0, -77.0)"
CB14,"(-138.0, -76.0)"
CB15,"(-138.0, -75.0)"
CB16,"(-138.0, -74.0)"
CB17,"(-138.0, -73.0)"
CB18,"(-138.0, -72.0)"
CB19,"(-138.0, -71.0)"
CB20,"(-136.0, -80.0)"
CB21,"(-136.0, -79.0)"
CB22,"(-136.0, -78.0)"
CB23,"(-136.0, -77.0)"
CB24,"(-136.0, -76.0)"
CB25,"(-136.0, -75.0)"
CB26,"(-136.0, -74.0)"
CB27,"(-136.0, -73.0)"
CB28,"(-136.0, -72.0)"
CB29,"(-136.0, -71.0)"
CB30,"(-134.0, -80.0)"
CB31,"(-134.0, -79.0)"
CB32,"(-134.0, -78.0)"
CB33,"(-134.0, -77.0)"
CB34,"(-134.0, -76.0)"
CB35,"(-134.0, -75.0)"
CB36,"(-134.0, -74.0)"
CB37,"(-134.0, -73.0)"
CB38,"(-134.0, -72.0)"
CB39,"(-134.0, -71.0)"
CB40,"(-132.0, -80.0)"
CB41,"(-132.0, -79.0)"
CB42,"(-132.0, -78.0)"
CB43,"(-132.0, -77.0)"
CB44,"(-132.0, -76.0)"
CB45,"(-132.0, -75.0)"
CB46,"(-132.0, -74.0)"
CB47,"(-132.0, -73.0)"
CB48,"(-132.0, -72.0)"
CB49,"(-132.0, -71.0)"
CB50,"(-130.0, -80.0)"
CB51,"(-130.0, -79.0)"
CB52,"(-130.0, -78.0)"
CB53,"(-130.0, -77.0)"
CB54,"(-130.0, -76.0)"
CB55,"(-130.0, -75.0)"
CB56,"(-130.0, -74.0)"
CB57,"(-130.0, -73.0)"
CB58,"(-130.0, -72.0)"
CB59,"(-130.0, -71.0)"
CB60,"(-128.0, -80.0)"
CB61,"(-128.0, -79.0)"
CB62,"(-128.0, -78.0)"
CB63,"(-128.0, -77.0)"
CB64,"(-128.0, -76.0)"
CB65,"(-128.0, -75.0)"
CB66,"(-128.0, -74.0)"
CB67,"(-128.0, -73.0)"
CB68,"(-128.0, -72.0)"
CB69,"(-128.0, -71.0)"
CB70,"(-126.0, -80.0)"
CB71,"(-126.0, -79.0)"
CB72,"(-126.0, -78.0)"
CB73,"(-126.0, -77.0)"
CB74,"(-126.0, -76.0)"
CB75,"(-126.0, -75.0)"
CB76,"(-126.0, -74.0)"
CB77,"(-126.0, -73.0)"
CB78,"(-126.0, -72.0)"
CB79,"(-126.0, -71.0)"
CB80,"(-124.0, -80.0)"
CB81,"(-124.0, -79.0)"
CB82,"(-124.0, -78.0)"
CB83,"(-124.0, -77.0)"
CB84,"(-124.0, -76.0)"
CB85,"(-124.0, -75.0)"
CB86,"(-124.0, -74.0)"
CB87,"(-124.0, -73.0)"
CB88,"(-124.0, -72.0)"
CB89,"(-124.0, -71.0)"
CB90,"(-122.0, -80.0)"
CB91,"(-122.0, -79.0)"
CB92,"(-122.0, -78.0)"
