grid,lon_lat
AB77,"(-166.0, -73.0)"
AB78,"(-166.0, -72.0)"
AB79,"(-166.0, -71.0)"
AB80,"(-164.0, -80.0)"
AB81,"(-164.0, -79.0)"
AB82,"(-164.0, -78.0)"
AB83,"(-164.0, -77.0)"
AB84,"(-164.0, -76.0)"
AB85,"(-164.0, -75.0)"
AB86,"(-164.0, -74.0)"
AB87,"(-164.0, -73.0)"
AB88,"(-164.0, -72.0)"
AB89,"(-164.0, -71.0)"
AB90,"(-162.0, -80.0)"
AB91,"(-162.0, -79.0)"
AB92,"(-162.0, -78.0)"
AB93,"(-162.0, -77.0)"
AB94,"(-162.0, -76.0)"
AB95,"(-162.0, -75.0)"
AB96,"(-162.0, -74.0)"
AB97,"(-162.0, -73.0)"
AB98,"(-162.0, -72.0)"
AB99,"(-162.0, -71.0)"
AC00,"(-180.0, -70.0)"
AC01,"(-180.0, -69.0)"
AC02,"(-180.0, -68.0)"
AC03,"(-180.0, -67.0)"
AC04,"(-180.0, -66.0)"
AC05,"(-180.0, -65.0)"
AC06,"(-180.0, -64.0)"
AC07,"(-180.0, -63.0)"
AC08,"(-180.0, -62.0)"
AC09,"(-180.0, -61.0)"
AC10,"(-178.0, -70.0)"
AC11,"(-178.0, -69.0)"
AC12,"(-178.0, -68.0)"
AC13,"(-178.0, -67.0)"
AC14,"(-178.0, -66.0)"
AC15,"(-178.0, -65.0)"
AC16,"(-178.0, -64.0)"
AC17,"(-178.0, -63.0)"
AC18,"(-178.0, -62.0)"
AC19,"(-178.0, -61.0)"
AC20,"(-176.0, -70.0)"
AC21,"(-176.0, -69.0)"
AC22,"(-176.0, -68.0)"
AC23,"(-176.0, -67.0)"
AC24,"(-176.0, -66.0)"
AC25,"(-176.0, -65.0)"
AC26,"(-176.0, -64.0)"
AC27,"(-176.0, -63.0)"
AC28,"(-176.0, -62.0)"
AC29,"(-176.0, -61.0)"
AC30,"(-174.0, -70.0)"
AC31,"(-174.0, -69.0)"
AC32,"(-174.0, -68.0)"
AC33,"(-174.0, -67.0)"
AC34,"(-174.0, -66.0)"
AC35,"(-174.0, -65.0)"
AC36,"(-174.0, -64.0)"
AC37,"(-174.0, -63.0)"
AC38,"(-174.0, -62.0)"
AC39,"(-174.0, -61.0)"
AC40,"(-172.0, -70.0)"
AC41,"(-172.0, -69.0)"
AC42,"(-172.0, -68.0)"
AC43,"(-172.0, -67.0)"
AC44,"(-172.0, -66.0)"
AC45,"(-172.0, -65.0)"
AC46,"(-172.0, -64.0)"
AC47,"(-172.0, -63.0)"
AC48,"(-172.0, -62.0)"
AC49,"(-172.0, -61.0)"
AC50,"(-170.0, -70.0)"
AC51,"(-170.0, -69.0)"
AC52,"(-170.0, -68.0)"
AC53,"(-170.0, -67.0)"
AC54,"(-170.0, -66.0)"
AC55,"(-170.0, -65.0)"
AC56,"(-170.0, -64.0)"
AC57,"(-170.0, -63.0)"
AC58,"(-170.0, -62.0)"
AC59,"(-170.0, -61.0)"
AC60,"(-168.0, -70.0)"
AC61,"(-168.0, -69.0)"
AC62,"(-168.0, -68.0)"
AC63,"(-168.0, -67.0)"
AC64,"(-168.0, -66.0)"
AC65,"(-168.0, -65.0)"
AC66,"(-168.0, -64.0)"
AC67,"(-168.0, -63.0)"
AC68,"(-168.0, -62.0)"
AC69,"(-168.0, -61.0)"
AC70,"(-166.0, -70.0)"
AC71,"(-166.0, -69.0)"
AC72,"(-166.0, -68.0)"
AC73,"(-166.0, -67.0)"
AC74,"(-166.0, -66.0)"
AC75,"(-166.0, -65.0)"
AC76,"(-166.0, -64.0)"
AC77,"(-166.0, -63.0)"
AC78,"(-166.0, -62.0)"
AC79,"(-166.0, -61.0)"
AC80,"(-164.0, -70.0)"
AC81,"(-164.0, -69.0)"
AC82,"(-164.0, -68.0)"
AC83,"(-164.0, -67.0)"
AC84,"(-164.0, -66.0)"
AC85,"(-164.0, -65.0)"
AC86,"(-164.0, -64.0)"
AC87,"(-164.0, -63.0)"
AC88,"(-164.0, -62.0)"
AC89,"(-164.0, -61.0)"
AC90,"(-162.0, -70.0)"
AC91,"(-162.0, -69.0)"
AC92,"(-162.0, -68.0)"
AC93,"(-162.0, -67.0)"
AC94,"(-162.0, -66.0)"
AC95,"(-162.0, -65.0)"
AC96,"(-162.0, -64.0)"
AC97,"(-162.0, -63.0)"
AC98,"(-162.0, -62.0)"
AC99,"(-162.0, -61.0)"
AD00,"(-180.0, -60.0)"
AD01,"(-180.0, -59.0)"
AD02,"(-180.0, -58.0)"
AD03,"(-180.0, -57.0)"
AD04,"(-180.0, -56.0)"
AD05,"(-180.0, -55.0)"
AD06,"(-180.0, -54.0)"
AD07,"(-180.0, -53.0)"
AD08,"(-180.0, -52.0)"
AD09,"(-180.0, -51.0)"
AD10,"(-178.0, -60.0)"
AD11,"(-178.0, -59.0)"
AD12,"(-178.0, -58.0)"
AD13,"(-178.0, -57.0)"
AD14,"(-178.0, -56.0)"
AD15,"(-178.0, -55.0)"
AD16,"(-178.0, -54.0)"
AD17,"(-178.0, -53.0)"
AD18,"(-178.0, -52.0)"
AD19,"(-178.0, -51.0)"
AD20,"(-176.0, -60.0)"
AD21,"(-176.0, -59.0)"
AD22,"(-176.0, -58.0)"
AD23,"(-176.0, -57.0)"
AD24,"(-176.0, -56.0)"
AD25,"(-176.0, -55.0)"
AD26,"(-176.0, -54.0)"
AD27,"(-176.0, -53.0)"
AD28,"(-176.0, -52.0)"
AD29,"(-176.0, -51.0)"
AD30,"(-174.0, -60.0)"
AD31,"(-174.0, -59.0)"
AD32,"(-174.0, -58.0)"
AD33,"(-174.0, -57.0)"
AD34,"(-174.0, -56.0)"
AD35,"(-174.0, -55.0)"
AD36,"(-174.0, -54.0)"
AD37,"(-174.0, -53.0)"
AD38,"(-174.0, -52.0)"
AD39,"(-174.0, -51.0)"
AD40,"(-172.0, -60.0)"
AD41,"(-172.0, -59.0)"
AD42,"(-172.0, -58.0)"
AD43,"(-172.0, -57.0)"
AD44,"(-172.0, -56.0)"
AD45,"(-172.0, -55.0)"
AD46,"(-172.0, -54.0)"
AD47,"(-172.0, -53.0)"
AD48,"(-172.0, -52.0)"
AD49,"(-172.0, -51.0)"
AD50,"(-170.0, -60.0)"
AD51,"(-170.0, -59.0)"
AD52,"(-170.0, -58.0)"
AD53,"(-170.0, -57.0)"
AD54,"(-170.0, -56.0)"
AD55,"(-170.0, -55.0)"
AD56,"(-170.0, -54.0)"
AD57,"(-170.0, -53.0)"
AD58,"(-170.0, -52.0)"
AD59,"(-170.0, -51.0)"
AD60,"(-168.0, -60.0)"
AD61,"(-168.0, -59.0)"
AD62,"(-168.0, -58.0)"
AD63,"(-168.0, -57.0)"
AD64,"(-168.0, -56.0)"
AD65,"(-168.0, -55.0)"
AD66,"(-168.0, -54.0)"
AD67,"(-168.0, -53.0)"
AD68,"(-168.0, -52.0)"
AD69,"(-168.0, -51.0)"
AD70,"(-166.0, -60.0)"
AD71,"(-166.0, -59.0)"
AD72,"(-166.0, -58.0)"
AD73,"(-166.0, -57.0)"
AD74,"(-166.0, -56.0)"
AD75,"(-166.0, -55.0)"
AD76,"(-166.0, -54.0)"
AD77,"(-166.0, -53.0)"
AD78,"(-166.0, -52.0)"
AD79,"(-166.0, -51.0)"
AD80,"(-164.0, -60.0)"
AD81,"(-164.0, -59.0)"
AD82,"(-164.0, -58.0)"
AD83,"(-164.0, -57.0)"
AD84,"(-164.0, -56.0)"
AD85,"(-164.0, -55.0)"
AD86,"(-164.0, -54.0)"
AD87,"(-164.0, -53.0)"
AD88,"(-164.0, -52.0)"
AD89,"(-164.0, -51.0)"
AD90,"(-162.0, -60.0)"
AD91,"(-162.0, -59.0)"
AD92,"(-162.0, -58.0)"
AD93,"(-162.0, -57.0)"
AD94,"(-162.0, -56.0)"
AD95,"(-162.0, -55.0)"
AD96,"(-162.0, -54.0)"
AD97,"(-162.0, -53.0)"
AD98,"(-162.0, -52.0)"
AD99,"(-162.0, -51.0)"
AE00,"(-180.0, -50.0)"
AE01,"(-180.0, -49.0)"
AE02,"(-180.0, -48.0)"
AE03,"(-180.0, -47.0)"
AE04,"(-180.0, -46.0)"
AE05,"(-180.0, -45.0)"
AE06,"(-180.0, -44.0)"
AE07,"(-180.0, -43.0)"
AE08,"(-180.0, -42.0)"
AE09,"(-180.0, -41.0)"
AE10,"(-178.0, -50.0)"
AE11,"(-178.0, -49.0)"
AE12,"(-178.0, -48.0)"
AE13,"(-178.0, -47.0)"
AE14,"(-178.0, -46.0)"
AE15,"(-178.0, -45.0)"
AE16,"(-178.0, -44.0)"
AE17,"(-178.0, -43.0)"
AE18,"(-178.0, -42.0)"
AE19,"(-178.0, -41.0)"
AE20,"(-176.0, -50.0)"
AE21,"(-176.0, -49.0)"
AE22,"(-176.0, -48.0)"
AE23,"(-176.0, -47.0)"
AE24,"(-176.0, -46.0)"
AE25,"(-176.0, -45.0)"
AE26,"(-176.0, -44.0)"
AE27,"(-176.0, -43.0)"
AE28,"(-176.0, -42.0)"
AE29,"(-176.0, -41.0)"
AE30,"(-174.0, -50.0)"
AE31,"(-174.0, -49.0)"
AE32,"(-174.0, -48.0)"
AE33,"(-174.0, -47.0)"
AE34,"(-174.0, -46.0)"
AE35,"(-174.0, -45.0)"
AE36,"(-174.0, -44.0)"
AE37,"(-174.0, -43.0)"
AE38,"(-174.0, -42.0)"
AE39,"(-174.0, -41.0)"
AE40,"(-172.0, -50.0)"
AE41,"(-172.0, -49.0)"
AE42,"(-172.0, -48.0)"
AE43,"(-172.0, -47.0)"
AE44,"(-172.0, -46.0)"
AE45,"(-172.0, -45.0)"
AE46,"(-172.0, -44.0)"
AE47,"(-172.0, -43.0)"
AE48,"(-172.0, -42.0)"
AE49,"(-172.0, -41.0)"
AE50,"(-170.0, -50.0)"
AE51,"(-170.0, -49.0)"
AE52,"(-170.0, -48.0)"
AE53,"(-170.0, -47.0)"
AE54,"(-170.0, -46.0)"
AE55,"(-170.0, -45.0)"
AE56,"(-170.0, -44.0)"
AE57,"(-170.0, -43.0)"
AE58,"(-170.0, -42.0)"
AE59,"(-170.0, -41.0)"
AE60,"(-168.0, -50.0)"
AE61,"(-168.0, -49.0)"
AE62,"(-168.0, -48.0)"
AE63,"(-168.0, -47.0)"
AE64,"(-168.0, -46.0)"
AE65,"(-168.0, -45.0)"
AE66,"(-168.0, -44.0)"
AE67,"(-168.0, -43.0)"
AE68,"(-168.0, -42.0)"
AE69,"(-168.0, -41.0)"
AE70,"(-166.0, -50.0)"
AE71,"(-166.0, -49.0)"
AE72,"(-166.0, -48.0)"
AE73,"(-166.0, -47.0)"
AE74,"(-166.0, -46.0)"
AE75,"(-166.0, -45.0)"
AE76,"(-166.0, -44.0)"
AE77,"(-166.0, -43.0)"
AE78,"(-166.0, -42.0)"
AE79,"(-166.0, -41.0)"
AE80,"(-164.0, -50.0)"
AE81,"(-164.0, -49.0)"
AE82,"(-164.0, -48.0)"
AE83,"(-164.0, -47.0)"
AE84,"(-164.0, -46.0)"
AE85,"(-164.0, -45.0)"
AE86,"(-164.0, -44.0)"
AE87,"(-164.0, -43.0)"
AE88,"(-164.0, -42.0)"
AE89,"(-164.0, -41.0)"
AE90,"(-162.0, -50.0)"
AE91,"(-162.0, -49.0)"
AE92,"(-162.0, -48.0)"
AE93,"(-162.0, -47.0)"
AE94,"(-162.0, -46.0)"
AE95,"(-162.0, -45.0)"
AE96,"(-162.0, -44.0)"
AE97,"(-162.0, -43.0)"
AE98,"(-162.0, -42.0)"
AE99,"(-162.0, -41.0)"
AF00,"(-180.0, -40.0)"
AF01,"(-180.0, -39.0)"
AF02,"(-180.0, -38.0)"
AF03,"(-180.0, -37.0)"
AF04,"(-180.0, -36.0)"
AF05,"(-180.0, -35.0)"
AF06,"(-180.0, -34.0)"
AF07,"(-180.0, -33.0)"
AF08,"(-180.0, -32.0)"
AF09,"(-180.0, -31.0)"
AF10,"(-178.0, -40.0)"
AF11,"(-178.0, -39.0)"
AF12,"(-178.0, -38.0)"
AF13,"(-178.0, -37.0)"
AF14,"(-178.0, -36.0)"
AF15,"(-178.0, -35.0)"
